Objective value: 437250

Exam assignments:
Exam 0: Period 24, Room 21
Exam 1: Period 25, Room 30
Exam 2: Period 1, Room 13
Exam 3: Period 13, Room 36
Exam 4: Period 0, Room 28
Exam 5: Period 2, Room 22
Exam 6: Period 14, Room 36
Exam 7: Period 0, Room 31
Exam 8: Period 1, Room 19
Exam 9: Period 2, Room 26
Exam 10: Period 1, Room 16
Exam 11: Period 1, Room 21
Exam 12: Period 11, Room 21
Exam 13: Period 0, Room 21
Exam 14: Period 4, Room 21
Exam 15: Period 1, Room 35
Exam 16: Period 1, Room 34
Exam 17: Period 0, Room 15
Exam 18: Period 2, Room 27
Exam 19: Period 2, Room 13
Exam 20: Period 1, Room 27
Exam 21: Period 0, Room 25
Exam 22: Period 3, Room 14
Exam 23: Period 4, Room 26
Exam 24: Period 1, Room 31
Exam 25: Period 3, Room 25
Exam 26: Period 4, Room 27
Exam 27: Period 0, Room 26
Exam 28: Period 2, Room 14
Exam 29: Period 3, Room 28
Exam 30: Period 4, Room 13
Exam 31: Period 4, Room 4
Exam 32: Period 0, Room 4
Exam 33: Period 1, Room 14
Exam 34: Period 2, Room 23
Exam 35: Period 1, Room 33
Exam 36: Period 0, Room 19
Exam 37: Period 3, Room 4
Exam 38: Period 0, Room 13
Exam 39: Period 1, Room 25
Exam 40: Period 2, Room 28
Exam 41: Period 4, Room 14
Exam 42: Period 5, Room 23
Exam 43: Period 0, Room 35
Exam 44: Period 4, Room 25
Exam 45: Period 0, Room 14
Exam 46: Period 3, Room 13
Exam 47: Period 5, Room 28
Exam 48: Period 1, Room 26
Exam 49: Period 2, Room 4
Exam 50: Period 2, Room 36
Exam 51: Period 0, Room 1
Exam 52: Period 5, Room 17
Exam 53: Period 1, Room 18
Exam 54: Period 3, Room 36
Exam 55: Period 4, Room 18
Exam 56: Period 8, Room 1
Exam 57: Period 6, Room 36
Exam 58: Period 4, Room 3
Exam 59: Period 5, Room 36
Exam 60: Period 7, Room 36
Exam 61: Period 0, Room 17
Exam 62: Period 1, Room 3
Exam 63: Period 3, Room 1
Exam 64: Period 5, Room 1
Exam 65: Period 6, Room 1
Exam 66: Period 0, Room 34
Exam 67: Period 1, Room 44
Exam 68: Period 3, Room 27
Exam 69: Period 0, Room 16
Exam 70: Period 1, Room 32
Exam 71: Period 2, Room 31
Exam 72: Period 2, Room 25
Exam 73: Period 0, Room 27
Exam 74: Period 1, Room 15
Exam 75: Period 3, Room 26
Exam 76: Period 4, Room 31
Exam 77: Period 22, Room 21
Exam 78: Period 23, Room 21
Exam 79: Period 21, Room 21
Exam 80: Period 20, Room 21
Exam 81: Period 24, Room 30
Exam 82: Period 2, Room 20
Exam 83: Period 0, Room 23
Exam 84: Period 1, Room 4
Exam 85: Period 3, Room 23
Exam 86: Period 5, Room 22
Exam 87: Period 0, Room 22
Exam 88: Period 3, Room 22
